review,terms
my mac boots up noticeably quicker,boots up
granted,
it caught a virus that completely wiped out my hard drive in a matter of hours,hard drive
would pay more for it if i have too,
could not keep a page up you be working on,
but somehow a bit more sturdy,
it be everything i would hoped it would be from a look and feel standpoint,look and feel standpoint
the only fact i dont like about apples be they generally use safari and i dont use safari but after i install mozzilla firfox i love every single bit about it,"safari,safari,mozzilla firfox"
and the fingerprint reader driver would be there,fingerprint reader driver
but the software would hang after installation be 1 2 way done,software
the bluetooth be not there at all,bluetooth
display,display
speed,speed
great battery,battery
i would not recommend this product to anyone,
i like to use it at the race track to handiecap the horse races,
i be given a mac as a birthday present and could not be happier with it 3 years later,
and i would not hesitate to purchase this laptop again,
the delivery be fast,delivery
i have been impressed with the battery life and the performance for such a small amount of memory,"battery life,performance,memory"
do a quick search on the internet see if im the only one,
i be extremely happy with my purchase as i now have the portable power i have been looking for,
including the replacements for microsoft office,microsoft office
it applications be terrific,applications
appearance,appearance
cooling system,cooling system
etc,
graphics card,graphics card
they improved nothing else such as resolution,resolution
mind you this be my means of communication with my fiance who be deployed but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out,"cam,mic"
i got it back and my built-in webcam and built-in mic be shorting out anytime i touched the lid,"built-in webcam,built-in mic,cam,mic"
is this partially due to the fact that it be running windows vista ,windows vista
and have have more than 2 dozens laptops in the past 15 years,
and none gets this hot,
but i be a gadget lover,
i be new in this game,
that fast,
you might think,
i be informed that i need to call some 0900 number first,
i really wanted a mac over a pc because i used a mac in high school,
1 payed 2200 for a premium laptop,
i bought them for my college age grandchildren and these macs be totally reliable and support their class work 100 of the time,
the board have a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues,"board,connector,power supply,warrenty,power supply"
do not purchase this laptop,
yes its abit slow now but still works well and i hooked to my ethernet,"ethernet,works"
my dad have one of the very first toshibas ever made,
mostly i love the drag and drop feature,drag and drop feature
and if the fancy webcam breaks guess who you have to send it to to get it fixed ,webcam
oh yeah,
she brought out 2 other identical netbooks and still insist that it be like that one ,
which saved me the sales tax i would have incurred buying locally,sales tax
i ordered through macmall,
very fast and efficient,
and imovie,imovie
garageband,garageband
i also have several great software packages that came for free including iwork,"software packages,iwork"
of course,
being virus-resistant be a huge plus,
the screen be very large and crystal clear with amazing colors and resolution,"screen,colors,resolution"
the monitor have completely died,monitor
after a little more than a year of owning my macbook pro,
hp be a nasty word,
in my house,
but keep in mind that apple started it all,
the brand of itunes have just become ingrained in our lexicon now,itunes
they offer a discount which helps,
by the way teachers,
now he mows yards so he can earn the money for the wireless internet,
i still see the benefits of a pc when i do not know how to do something on my mac,
i know 13 be small especially for a desktop replacement but with an external monitor,external monitor
who cares,
size ,size
the base installation comes with some toshiba-specific software that may or may not be to a user liking,"base installation,software"
additional caveat ,
it be held in place magnetically,
taking it back to best buy i found that a tiny plastic piece inside have broken manuf issue ,manuf
i can always buy and install one easy,
it have no camera but,camera
much brighter than my powerbook and very crisp,
the display be incredibly bright,display
we be pc users,
the amd turin processor seems to always perform so much better than intel,"amd turin processor,intel"
after that the said it be under warranty,warranty
the start menu be not the easiest thing to navigate due to the stacking,"start menu,navigate"
only thing i would want to add to this be an internal bluray read write drive,bluray read write drive
i would never recomend it to another person,
this computer be awful,
the service tech said he have tried to duplicate the damage and be not able to recreate it therefore it have to be their defect,service tech
eventually i got a new or repaired machine approximately 3 weeks later,
the tech store i purchased this from sent it back,tech store
but unfortunately it be before the days of wireless internet,
i loved it then,
really like the textured surface which shows no fingerprints,surface
not will i buy gateway,
or emachine as they be all from the same company,
i will never again buy another acer,
the screen be bright and the keyboard be nice,"screen,keyboard"
it have held up well over the years and it fits my needs very well,
i look forward to years of use,
im very happy with this computer,
but the machine be awesome and ilife be great and i love snow leopard x,"ilife,snow leopard x"
however,
high price tag,price tag
but it be easily picked up if you be familiar with a pc,
i thought learning the mac os would be hard,mac os
my kids have to take their pcs in once a year to have them de-bugged ,
and i have to reduce the sound output quality to fm as opposed to the default cd,sound output quality
i have static in the output,
it be a laugh too,
i have a laptob and a desktop,
i have been very pleased with it,
since i purchased my toshiba netbook,
i bought my macbook a few months ago and it have been my baby ever since,
that be how it be able to function better than any other pc,
i custom ordered the machine from hp and could not understand the techie due to his accent,techie
it be easy to use and lightweight,use
i went to toshiba online help and found some suggestions to fix it,toshiba online help
it be a bit heavy,
after trying to get some help he disconnected on me,
they also have a longer service life than other computers i have several friends who still use the older apple powerbooks ,service life
if you check you will find the same notebook with the above missing ports and a dual core amd or intel processor,"ports,processor"
this laptop be a great price and have a sleek look,"price,look"
i especially like the keyboard which have chiclet type keys,"keyboard,keys"
small screen somewhat limiting but great for travel,screen
one of the primary reasons why i purchased an ipad be to store photographs so that i could show to my customers,
runs hot i thought we be paying for quality in our decision to buy an apple product,quality
i got the stock screen ,stock screen
which be very glossy,
for the not so good,
the gray color be a good choice,gray color
this be the second computer and brand bought that day,
buy this,
very disappointing ,
i love this product because it be toshiba and its 156 ,
i would like to have volume buttons rather than the adjustment that be on the front,volume buttons
this be my first computer purchase,
people know what they be talking about and they have pride in the product that they be selling,
the processor a amd semprom at 21 ghz be a bummer it does not have the power for hd or heavy computing,"processor,computing"
would highly recommend this netbook though,
both for personal and business use,
i have have several machines over the years,
i bought a protector for my key pad and it works great ,"protector,key pad"
excellent innovation,
the magnetic plug-in power charging power cord be great i even put it to the test by accident ,magnetic plug-in power charging power cord
well i got this computer from best buy and i have have nothing but problems i bought the computer with a virus,
it seems they could have updated xp and done without creating vista,"xp,vista"
fast and have great graphics for the money,graphics
it be easy to use,use
i decided i wanted a laptop so i went into the bby store,
i like how the mac os be so simple and easy to use,"mac os,use"
and their support be great,support
it would be nice if their products be more reliable to justify the premium,
while apple saving grace be the fact that they at least stand behind their products,
and i do a lot of work on the internet,
i have never have a virus on my computer,
in the three years i have have my macbook pro,
but the geek squad camed through and pointed me in the right direction to get it fixed,geek squad
i be ready to take it back for a refund,
i have have laptops in the past and i thought why not give these small netbooks a try,
it cannot get any better,
and the issue of viruses and contaminants-my hp completely quit working within2 years of purchasing it,
the issue of overheating-my dell be always overheating and not working properly or simply shutting off,
with no inexpensive way of fixing it,
all the problems i have have with pc be solved with a mac ,
only good thing be the graphics quality,graphics quality
the most common being a corrupted version of appleworks which can render the browser useless,"appleworks,browser"
the other lock-up problems be from a myriad of causes,
in short i would never buy a compaq again,
i love the 15 macbook pro,
breaks easily,
the paint wears off easily due to the keyboard being farther back than usual,"paint,keyboard"
absolutely nothing,
no power,
that right,
i have purchased it from a major electronics store and took it to their service department to find out what the problem was,service department
the store honored their warrenty and made the comment that they do not even recommend the hp brand because of the problems with their warrentys,"warrenty,warrentys"
but i be wrong,
no good,
i always use a backup hard disk to store important files at all times,hard disk
and now my cd drive be not reading anything,cd drive
but when i got my computer back it still be not running right,running
they paid postage and whatnot,
they sent out the box right away for me to send in my computer,
i bought this laptop be the worst laptop i have ever bought,
but the screen size be not that bad for email and web browsing,"screen size,web browsing"
once i removed all the software the laptop loads in 15-20 seconds,"software,loads"
on my powerbook g4 i would never use the trackpad i would use an external mouse because i did not like the trackpad,"trackpad,external mouse,trackpad"
this computer does not do that well with certain games it cannot play some and it becomes too hot while playing games,games
obviously one of the most important features of any computer be the human interface,"features,human interface"
compared to the early 2011 edition i did see inbuilt applications crashing and it prompted me to send the report to apple which i promptly did ,inbuilt applications
of course smarty pants fix it now software ,software
yeah,
the body be a bit cheaply made so it will be interesting to see how long it holds up,body
the i5 blows my desktop out of the water when it comes to rendering videos,i5
it so wonderful,
with a mac you do not have to worry about antivirus software or firewall,"antivirus software,firewall"
for the use it be purchased for it be a good laptop,
great netbook,
low price,price
am very glad i bought it,
this macbook be p-e-r-f-e-c-t for me because it does exactly what i need in an easy-to-function way,
obviously,
worth the investment and truly a fine piece of equipment,
the apple team also assists you very nicely when choosing which computer be right for you ,apple team
dont buy hp,
summary ,
yet i know vista be not the entire issue because my latest purchase be my acer and it also have vista i should have waited the few months to get the next operating system ,"vista,vista,operating system,vista"
i think part of the problem with this computer be vista,"vista,vista,vista"
the video chat be the only thing that be iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better,"video chat,quality"
you will need to upgrade and pay a little more for them,
it be hard to fix and makes it a hassle to own one,
that whole experience be just ridiculous we sent it in and after they told us that we have to pay 175 to fix it we be like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the 175 and it be fixed,mouse
macs be designed for the frontal lobe challenged people out there,
great feature,feature
so no cooling pad needed,cooling pad
fan vents to the side,fan
how easy it be to use and most of all how you do not have to worry about viruses,
i love the software,software
the way it takes a short time to load things,
i use my mac all the time,
wasted me at least 8 hours of installation time,installation time
and abilitiy,abilitiy
storage,storage
it have far exceeded my expectations for power,power
one can search for documents by simply typing a keyword,
rather than parsing tens of file folders for a document,
a great feature be the spotlight search ,"spotlight search,feature"
my wireless system would not recognize windows 7 and i could not get online to find out why,"wireless system,windows 7"
i be enjoying it and the quality it provides be great,quality
it be the worst laptop ever,
my macbook pro keeps me going with its long battery life and blazing speed,"battery life,speed"
suffice it to say,
i have never really liked the acer brand in general,
i be not going to lie,
even for those that switch from a pc,"os,os"
with a little practice you can take full advantage of this os,"os,os"
the os be also very user friendly,"os,os"
and it be essential for anyone with an ipod,
itunes be a handy music-management program,"itunes,program"
i just want a computer reasonably fast,
-i give up on my data,
would buy 100 more of these if i could,
i would never purchase another dell and would not recomend the dell brand to others,
while it be barely a bargin in the begining,
it be shooting sparks,
great product,
mac be not made for gaming,gaming
which gets hot and the battery does not make it through 1 dvd,battery
well i spilled something on it and they replaced it with this model,
english speaking from vancouver techs that walked me through the processes to help me,techs
i have have to call apple support to set up my new printer and have have wonderful experiences with helpful,apple support
but sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars,adding the bluetooth
by this time i be regretting ever seeing this machine on the shelf,
even though i have not have it for a long time,
i be very happy with it,
toshiba be a great brand,
i need graphic power to run my adobe creative apps efficiently,"graphic power,adobe creative apps"
the programs be esay to use and be quick to process this computer works like a charm,"programs,use"
the materials that came with the computer did not include the right anywhere,materials
so when you do call to complain about the hunk of metal you get the joy of speaking with a bunch of people you cant understand,
that day,
for one,
i noticed that from turning on my mac to logging on only took about 25 seconds,
it does not even have the software to play a dvd now,software
my brother be a computer wiz and would laugh at me because he used an apple,
tech support tells me the latter problem be a power supply problem and have offered to fix it if it happens again,"tech support,power supply"
i cannot comment on anything except what went wrong after trying 2 of them,
since i never really got to use this,
buyers beware,
how does the power supply not work,power supply
sells for the same as a netbook without sacrificing size,size
i will rather be out of date then spend more money on toshiba,
be that it be out of warranty and i could pay to have it repaired,warranty
upon giving them the serial number the first thing i be told,
so i have to remove it,
windows xp sp2 caused many problems on the computer,windows xp sp2
love it,
and the bluetooth and fingerprint reader software would not load,"bluetooth,fingerprint reader,software"
i reloaded with windows 7 ultimate,windows 7 ultimate
none of the techs at hp knew what they be doing,techs at hp
it be such a great piece of equipment,
oh,
bad video card unreliable overall,video card
this will be my second time returning this laptop back to best buy,
this be my second one and the same problem,
so i be adjusting to not having it,
i use that alot on my desktop,
it perfect,
with awesome graphics and assuring security,"graphics,security"
but for the audio problem when 1st sent for repair,audio
laptop be in new condition and operational,
i be disappointed when i realized that the keyboard does not light up on this model,keyboard
this machine be a horrible experience,
it runs perfectly,runs
and never a issue,
very dissappointed becase i have have toshibas for years,
if you have any creativity in you do yourself a favor and get a mac,
the laptop be very easy to set up,set up
congratulations asus for creating one big piece of dump which be my laptop,
sometimes the screen even goes black on this computer,screen
i would definitely recommend checking out this laptop if you be in the market for one,
i recommend for word processing and internet users,"word processing,internet"
since i have have this computer i have only used the trackpad because it be so nice and smooth,trackpad
it will occasionaly just go off by itself,
when the computer have been on for several minutes,
but it meets it spec quite easily,spec
a longer battery life would have been great ,battery life
80-gigabyte hd,hd
and end up lasting a lot longer,
and fairly new graphics chip as i soon discovered,graphics chip
better-configured,
there be a reason for which similarly-configured sony and toshiba machines cost more ,
they use higher-quality components that be faster,components
though,
who could not love a dvd burner,dvd burner
falls into the case,
this be something i would deffinately reccomend to someone,
its fast and another thing i like be that it have three usb ports,usb ports
mac computers automatically defrag each time you start your computer,
that be my only complaint,
the salesman talked us into this computer away from another we be looking at and we have have nothing but problems with software problems and just not happy with it,software
that system be fixed,system
and have no problems,
ran smoothly,ran
the computer itself be fast,
one of the smartest thing i did be take my time to compare laptops before making my purchase,
like the price and operation,"price,operation"
the brand be tarnished in my heart,brand
and i be hoping that it can be fixed with a ground loop isolator,ground loop isolator
but i still expected better product quality for this price range,"price range,quality"
this be likely due to poor grounding and isolation between the components,components
this be absolutely wonderful,
honestly,
i have have it for about a 1 1 2 and yes i have have an issue with it one month out of warranty,warranty
i really wish i have done this years ago,
maybe i be just very unlucky,
well,
when my husband turns the light out while i be on the computer,
for example,
the leading edge be razor sharp,leading edge
once open,
loaded with bloatware,bloatware
pray you dont have major prolems,
if you buy,
i be no microsoft hater,
i have just managed to turn into a much bigger apple fan because of this machine,
do not get me wrong,
hp refused to give me a new one and wal mart refused to take it back,
within 3 weeks the same issues started happening again,
maximum sound be not nearly as loud as it should be,maximum sound
they do not care a bunch,
well,
i loaded windows 7 via bootcamp and it works flawlessly,"windows 7,bootcamp"
i have never have to shut down the computer unexpectedly and the computer have never froze on me,
works well with action pack games,"action pack games,works"
great laptop for the price,price
the macbooks be worth the dough,
although the price be higher then dell laptops,price
recommended to people as their first laptop,
i would recomend this acer to parents and grandparents it can really help them in school,
i would not recommend this to anyone wanting a notebook expecting the performance of a desktop it does not meet the expectations,performance
all the functions works great,functions
the macbook arrived in a nice twin packing and sealed in the box,twin packing
so what if the laptops mobile phones look chic and cool the after sales support be terrible,"after sales support,look"
they have not sent a new one nor called,
i would easly reccomend this laptop to a friend,
i hate the display screen and i have done everything i could do the change it,display screen
i spent alot of money on this product and its been a nightmare,
i also like the acer arcade but these be reallythe only two things i liked about this laptop,acer arcade
