review,terms
i sent it back to toshiba twice they covered it under the warranty,"O,O,O,O,O,O,O,O,O,O,O,BB,B"
and this be not just my one experine,"O,O,O,O,O,O,O,O"
they sent me a replacement part and without informing me be requiring that i return it within 15 days or contact them and let them know the broken part will be returned later,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
i be looking for a mac which be portable and have all the features that i be looking for,"O,O,O,O,O,O,O,O,O,O,O,O,BB,B,EB,O,O,O,O"
i would highly recommend this one to my friends,"O,O,O,O,O,O,O,O,O"
thats why i be a self proclaimed mac addict,"O,O,O,O,O,O,O,O,O"
i honestly love my mac,"O,O,O,O,O"
and these be some reasons you should get a macbook pro,"O,O,O,O,O,O,O,O,O,O,O"
also kinda loud when the fan be running,"O,O,O,O,BB,B,EB,O"
i called their customer service number and be told that my warranty have expired 2 days old and that the priviledge of talking to a technician would cost me have your credit card ready ,"O,O,BB,B,I,I,EI,O,O,O,BB,B,EB,O,O,O,O,O,O,O,O,BB,B,I,I,I,EI,O,O,O,O,O,O,O"
in desparation,"O,O"
i purchased this laptop while on a business trip to keep up with my email,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files,"O,O,O,O,O,O,O,O,BB,B,I,EI,O,BB,B,EB,O,O,O,O,O,O,O,O,BB,B,EB,O"
drivers updated ok but the bios update froze the system up and the computer shut down,"B,EB,O,O,BB,B,I,EI,BB,B,EB,O,O,O,O,O"
-they lost my laptop for a month,"O,O,O,O,O,O,O"
spent 2 hours on phone with hp technical support,"O,O,O,O,O,BB,B,I,I"
and it be head and shoulders above my first,"O,O,O,O,O,O,O,O,O"
this be my second laptop,"O,O,O,O,O"
at first,"O,O"
it too have problems,"O,O,O,O"
speaking of the browser,"O,O,BB,B"
i think just going from pc to mac have gotten me totally spoiled and i cannot imagine ever going back,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
the keyboard be too slick,"BB,B,EB,O,O"
nightly my computer defrags itself and runs a virus scan,"O,O,O,O,O,O,O,BB,B,I"
but if you can look past it,"O,O,O,O,O,O,O"
it great,"O,O"
it like 9 punds,"O,BB,B,I"
it just as fast with one program open as it be with sixteen open,"O,O,O,O,O,BB,B,EB,O,O,O,O,O,O"
no help at all,"O,O,O,O"
still under warrenty so called toshiba,"O,BB,B,EB,O,O"
i be happy with my purchase of a toshiba satellite l305d-s5934 laptop until it came time to have it repaired under the toshiba warranty,"O,O,O,O,O,O,O,BB,B,EB,O,O,O,O,O,O,O,O,O,O,O,BB,B,I"
i love it,"O,O,O"
amazing quality,"BB,B"
the fact that you can spend over 100 on just a webcam underscores the value of this machine,"BB,O,O,O,O,O,O,O,O,O,BB,B,EB,BB,B,EB,O,O"
and managing personal files pics,"BB,B,I,I,EI"
etc ,O
internet,B
vids,O
i mainly use it for email,"O,O,O,O,O,O"
the freaking motherboard just died,"O,BB,B,EB,O"
a month or so ago,"O,O,O,O,O"
so when trying to fix the problems with it it started not working at all,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
the system it comes with does not work properly,"BB,B,EB,O,O,O,O,O,O"
then after 4 or so months the charger stopped working so i be forced to go out and buy new hardware just to keep this computer running,"O,O,O,O,O,O,BB,B,EB,O,O,O,O,O,O,O,O,O,O,BB,B,EB,O,O,O,O,O"
i took it back to best buy where they be so helpful and immediately gave me a new one,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
maybe even forcing you to replace your entire computer,"O,O,O,O,O,O,O,O,O"
if you have pc for four years i can almost gaurentee that something would of gone wrong by now,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
2 weeks after giving the computer for repair -called headquarters,"O,O,O,O,O,O,O,O,O,O"
they report that they have not looked at it yet but it be on the top of the stack ,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
this machine delivers,"O,O,O"
then 2 of my nephews be going into music and both fell in love with the macbook pro,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
i complain again,"O,O,O"
this laptop be insane,"O,O,O,O"
its really easy to force quit,"O,O,O,BB,B,I"
if a website ever freezes which be rare ,"O,O,O,O,O,O,O,O"
it does run a little warm but that be a negligible concern,"O,O,O,O,O,O,O,O,O,O,O,O"
it rarely works and when it does it incredibly slow,"O,BB,B,EB,O,O,O,O,O,O"
i also enjoy the fact that my macbook pro laptop allows me to run windows 7 on it by using the vmware program,"O,O,O,O,O,O,O,O,O,O,O,O,O,BB,B,I,EI,O,O,O,BB,B,I"
and it runs a lot faster,"O,BB,B,EB,O,O"
to find files,"BB,B,I"
it so much easier to navigate through the operating system,"O,O,O,O,BB,B,EB,BB,B,I"
purchased a toshiba lap top it worked good until just after the warrenty went out,"O,O,O,O,O,O,O,O,O,O,O,BB,B,EB,O"
i always swore by pcs and would never consider a mac,"O,O,O,O,O,O,O,O,O,O,O"
wonderful machine,"O,O"
what an elegant,"O,O,O"
this be now my 3rd macbook pro and i really honestly love it,"O,O,O,O,O,O,O,O,O,O,O,O,O"
for 2 months,"O,O,O"
because they knew it be trouble,"O,O,O,O,O,O"
i wanted to purchase the extended warranty and they refused,"O,O,O,O,BB,B,I,EI,O,O"
do you ever think hp would do that never,"O,O,O,O,O,O,O,O,O"
we upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed,"O,O,BB,B,EB,O,O,O,O,O,O,O,O,BB,B,EB,BB,B"
it not like i have used for half a year and then complained about it,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
still trying to learn how to use it,"O,O,O,O,O,O,O,O"
and took way too long to do simple things,"O,O,O,O,O,O,O,O,O"
it heated up very quickly,"O,O,O,O,O"
like opening my documents folder,"BB,B,I,I,I"
the reality was,"O,O,O"
i bought the netbook because it be smaller and lighter for me to carry around,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
the genius at the apple store advised me that there be nothing about my use of the computer that caused this failure,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
we will save our money to replace it with a mac again,"O,O,O,O,O,O,O,O,O,O,O,O"
thank you for your great product,"O,O,O,O,O,O"
this company truely does make horrible products and doesnt seem to because they be certain things like this never happen,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
i have always used pcs and been constantly frustrated by the crashing and the poorly designed operating systems that be never very intuitive,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,BB,B,I,EI,O,O,O,O"
but 1st impressions do count for something,"O,O,O,O,O,O,O"
sorry toshiba,"O,O"
the charger crapped out on me,"BB,B,EB,O,O,O"
within 5 months,"O,O,O"
then,O
and if you have a iphone or ipod touch you can connect and download songs to it at high speed,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,BB,B"
overall this laptop be great,"O,O,O,O,O"
i love the glass touchpad,"O,O,BB,B,I"
i continued to take the computer in again and they replaced the hard drive and mother board yet again,"O,O,O,O,O,O,O,O,O,O,O,BB,B,I,BB,B,I,EI,O"
sound be good,"B,EB,O"
i be using the external speaker,"O,O,O,BB,B,I"
the apple mc371ll a 24ghz 154-inch macbook pro notebook be a horrible waste of money,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
this be probably the best laptop series ever devised by apple,"O,O,O,O,O,O,O,O,O,O,O"
ok,O
about 4 inches across be hardly visible,"O,O,O,O,O,O,O"
as of a couple weeks ago the middle portion of the laptop from top to bottom,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
but be very happy with the upgrade,"O,O,O,O,O,O,O"
still testing the battery life as i thought it would be better,"O,O,BB,B,I,EI,O,O,O,O,O,O"
not able to connect,"O,O,O,O"
then hp sends it back to me with the hardware screwed up,"O,O,O,O,O,O,O,O,BB,B,EB,O"
i just hope the reputation that toshiba have be true and i wo not have to worry about a crash,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
do not forget the expensive shipping to and from hp,"O,O,O,O,BB,B,EB,O,O,O"
oh yeah,"O,O"
i would recommend anyone to buy from pcconnection express,"O,O,O,O,O,O,O,O,O"
good luck,"O,O"
mac software be just so much simpler than microsoft software,"B,I,EI,O,O,O,O,BB,B,I"
everything be so easy to use,"O,O,O,O,BB,B"
although the most expensive,"O,O,O,O"
be my sony,"O,O,O"
my favorite by far,"O,O,O,O"
editing be a problem since there be no forward delete key,"B,O,O,O,O,O,O,O,BB,B,I"
and if you do a lot of writing,"O,O,O,O,O,O,O,O"
also i typed faster then then letters would show and it got to be realy annoying,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
as an owner of a toshiba satalite laptop computer things you should know before you buy,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
be it their phone assistance or bellying up to the genius bar,"O,O,BB,B,I,EI,O,O,O,BB,B,I"
cannot be beat,"O,O,O"
its ease of use and the top service from apple,"O,O,BB,B,EB,O,BB,B,EB,O"
and in terms of gaming and movie playing it will have a battery life of just over 5 hours,"EB,O,O,BB,B,EB,B,I,EI,O,O,BB,B,I,BB,O,O,O,O"
making it perfect for the classroom or office,"O,O,O,O,O,O,O,O"
it have a 10 hour battery life when you be doing web browsing and word editing,"O,O,O,O,BB,B,I,EI,O,O,BB,B,I,EI,B,I"
july 17,"O,O"
i shipped out on saturday,"O,O,O,O,O"
i bought it for really cheap also and it amazing,"O,O,O,O,O,O,O,O,O,O"
when they be available since i asked,"O,O,O,O,O,O,O"
acer have set me up with free recovery discs,"O,O,O,O,O,O,BB,B,I"
i also purchased office max max assurance with the no lemon clause,"O,O,BB,B,I,I,I,EI,O,O,O,O"
if you find yourself in the market for a new laptop and have the money do not exclude looking at the mbps,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
i eventually did the migration from my imac backup disc which uses usb,"O,O,O,O,O,O,BB,B,I,I,EI,BB,B"
vital even,"O,O"
those things be very important ,"O,O,O,O,O"
-they say it will take up to two weeks ,"O,O,O,O,O,O,O,O,O"
i did not like one thing about it,"O,O,O,O,O,O,O,O"
and have have no issues with it,"O,O,O,O,O,O,O"
the battery life seems to be very good,"BB,B,I,EI,O,O,O,O"
enabling the battery timer be useless,"O,BB,B,I,EI,O"
temperatures on the outside be alright but i did not track in core processing unit temperatures,"I,EB,O,O,O,O,O,O,O,O,O,BB,B,I,I,I"
to you,"O,O"
yeah,O
i got a mac as my hs graduation gift,"O,O,O,O,O,O,O,O,O"
i have now have it for 15 months and love it,"O,O,O,O,O,O,O,O,O,O,O"
it turned out it not really a problem to have a mac,"O,O,O,O,O,O,O,O,O,O,O,O"
page just disapeared after you got yahoo or downloaded something,"O,O,O,O,O,O,O,O,O,O"
images can be multi-selected and viewed swiftly or in slideshow mode,"O,O,O,O,O,O,O,O,O,O,O"
going to bring it to service today,"O,O,O,O,BB,B,EB"
which saves me a lot of time and money,"O,O,O,O,O,O,O,O,O"
there be no need to purchase virus protection for mac,"O,O,O,O,O,BB,B,I,I,I"
and there be none,"O,O,O,O"
but we have paid for bluetooth,"O,O,O,O,BB,B"
hoping they can make the hinge tighter,"O,O,O,O,BB,B,EB"
i paid a visit to lg notebook service center at alexandra road,"O,O,O,O,BB,B,I,I,I,EI,O,O"
so,O
email,O
facebook,O
pictures and music,"O,O,O"
my daughter uses it for games,"O,O,O,O,BB,B"
laptop be to be used like a netbook,"O,O,O,O,O,O,O,O"
never bugged and responds well,"O,O,BB,B,EB"
it be always reliable,"O,O,O,O"
after about a week i finally got it back and be told that the motherboard have failed and so they installed a new motherboard,"O,O,O,O,O,O,O,O,O,O,O,O,O,BB,B,EB,O,O,O,O,O,O,BB,B"
so i want to manage my time i do have to be the most efficient,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
trying to balance all of my roles leaves very little time for me to do anything,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
and also have hardware replaced after only 2 months,"O,O,BB,B,EB,O,O,O,O"
locked up,"O,O"
it be slow,"O,O,O"
they have to replace the motherboard in april,"O,O,O,O,BB,B,EB,O"
and be pretty self explantory in use,"O,O,O,O,O,BB,B"
less expensive than the average laptop,"O,O,O,O,O,O"
the computer be light weight,"O,O,O,O,O"
yes,O
if you need to talk to a representive at microsoft,"O,O,O,O,O,O,BB,B,I,I"
since you be charged enormous amounts for a very badly designed system,"O,O,O,O,O,O,O,O,O,O,BB,B"
there be a charge,"O,O,O,O"
which i believe be robbery,"O,O,O,O,O"
which most people would have went with xp if they could,"O,O,O,O,O,O,BB,B,EB,O,O"
also,O
but good luck with that,"O,O,O,O,O"
there be a little indent to help open it ,"O,O,O,O,O,O,O,O,O"
i love windows 7 which be a vast improvment over vista,"O,BB,B,I,EI,O,O,O,O,BB,B"
also,O
and not even sitting on anything to make it hot,"O,O,O,O,O,O,O,O,O,O"
i have alot of trouble with it getting very hot,"O,O,O,O,O,O,O,O,O,O"
it be a great deal after all,"O,O,O,O,O,O,O"
this mac be great,"O,O,O,O"
very quiet for all the typing that i do,"O,O,O,O,O,O,O,O,O"
keyboard be great,"B,EB,O"
i grew up in a design family so it only made sense,"O,O,O,O,O,O,O,O,O,O,O,O"
gave phonenumber,"O,O"
it would take up too much time to do reaearch for my papers and i would be up hours-just because the computer be too slow,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
oh my goodness-i be not a happy camper,"O,O,O,O,O,O,O,O"
dell customer disservice be an insult to it customers who pay good money for shoddy products,"B,I,I,EI,O,O,O,O,O,O,O,O,O,O,O,O"
i would recommend this laptop to anyone,"O,O,O,O,O,O,O"
hp wo not do anything about the problem,"O,O,O,O,O,O,O,O"
yet,O
i be returning mine,"O,O,O,O"
and would not move past this error,"O,O,O,O,O,O,O"
it have a cooling system malfunction after 10 minutes of general use,"O,O,BB,B,I,EI,O,O,O,O,BB,B"
which be a problem for most pc unless you have a quad core i7,"O,O,O,O,O,O,O,O,O,O,BB,B,I,I"
i can render avchd movies with little effort,"O,O,O,O,O,O,O,O"
it a bummer and one out of five be being kind,"O,O,O,O,O,O,O,O,O,O,O"
and simply categorize them as portables,"O,O,O,O,O,O"
and that be the reason we no longer call them laptops,"O,O,O,O,O,O,O,O,O,O,O"
it heats up,"O,O,O"
this be what they told me ,"O,O,O,O,O,O"
i chose the macbook pro over the white macbook,"O,O,O,O,O,O,O,O,O"
after talking it over with the very knowledgeable sales associate,"O,O,O,O,O,O,O,BB,B,I"
go with an apple,"O,O,O,O"
if you really want a bang-up system and do not need to run windows applications,"O,O,O,O,O,BB,B,EB,O,O,O,O,BB,B,I"
you wo not have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet,"O,O,O,O,O,O,O,O,O,O,O,BB,B,I,EI,O,O,O,O,O,O,O,O,O,O,O,O"
this laptop be fast and you will literally learn all you can do with this dynamo by just watching the online tutorials,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
one of them seems to have worked,"O,O,O,O,O,O,O"
which i still use and have hooked up to my tv,"O,O,O,O,O,O,O,O,O,O,O"
the problem i have with this unit be unresolvable,"O,O,O,O,O,O,O,O,O"
it weighed like seven pounds or something like that,"BB,B,BB,B,I,EI,O,O,O"
the battery went,"BB,B,EB"
2 months later,"O,O,O"
you may need to special order a bag,"O,O,O,O,O,O,BB,B"
it color be even cool,"BB,B,EB,O,O"
and it have blue screen crashed on me twice,"O,O,O,O,O,O,O,O,O"
another two weeks later and it be back in my possession,"O,O,O,O,O,O,O,O,O,O,O"
keys be all in weird places and be way too large for the way it be designed,"B,BB,O,O,O,O,O,O,O,O,O,O,O,O,O,BB,B"
this be by far the worst one i have ever had,"O,O,O,O,O,O,O,O,O,O,O"
i have owned every pro model apple laptop for the last 8 years,"O,O,O,O,O,O,O,O,O,O,O,O,O"
we purchase the dell xps several years ago for my home business,"O,O,O,O,O,O,O,O,O,O,O,O"
like all the others,"O,O,O,O"
we smoothly with no problems,"O,O,O,O,O"
have purchased many products over the years from macconnection and this transaction,"O,O,O,O,O,O,O,O,O,O,O,O"
i would recommend anyone to buy from pcconnection express,"O,O,O,O,O,O,O,O,O"
a mac be much more money than the average laptop out there,"O,O,O,O,O,O,O,O,O,O,O,O"
but there be no comparison in style,"O,O,O,O,O,BB,B"
speed and just cool factor,"B,EB,O,O,O"
yes,O
he gave me this pc about 3 years ago and up to this point im still sitting here using it,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
i be pleased,"O,O,O"
the keyboard feels good and i type just fine on it,"BB,B,EB,O,O,O,O,O,O,O,O"
i took the machine home and tried to find a flaw,"O,O,O,O,O,O,O,O,O,O,O"
with a healthy pessimism,"O,O,O,O"
shiny this laptop be the best of the best,"O,O,O,O,O,O,O,O,O"
i thought the white mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing,"O,O,O,O,O,O,O,O,O,O,O,O,O,BB,B,EB,O,O,O,O,O,O,O"
the battery will slowly less and less hold a charge until you cannot leave it unplugged for more than 5 minutes without the thing dying,"BB,B,EB,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
and not to mention after using it for a few months or so,"O,O,O,O,O,O,O,O,O,O,O,O,O"
save it and but a mac,"O,O,O,O,O,O"
do not waste their money,"O,O,O,O,O"
money and time well spent,"O,O,O,O,O"
gradually the freezing screen evolved into a screen that froze in weird shapes,"O,O,O,O,O,O,O,O,O,O,O,O,O"
3 stars dell support ,"O,BB,B,I"
5 stars + + + sales,"O,O,O,O,O,B"
owes a me a couple,"O,O,O,O,O"
respect for old men who be not familiar with the technology dell computers ,"O,O,O,O,O,O,O,O,O,O,O,O,O"
service,B
best buy ,"O,O"
good laptop for the money,"O,O,O,O,O"
i like the laptop overall,"O,O,O,O,O"
i now travel with this laptop and my work pc,"O,O,O,O,O,O,O,O,O,O"
i be however pleased that it be still hanging in there,"O,O,O,O,O,O,O,O,O,O,O"
both my husband and i have this model toshiba,"O,O,O,O,O,O,O,O,O"
and maybe because it just sits on your desktop,"O,O,O,O,O,O,O,O,O"
and you do not carry it around,"O,O,O,O,O,O,O"
or the motherboard,"O,BB,B"
which could jar the hard drive,"O,O,O,BB,B,I"
no complaints with their desktop,"O,O,O,O,O"
and longevity,"BB,B"
but they more than make up for it in speed,"O,O,O,O,O,O,O,O,BB,B"
construction quality,"B,I"
they cost more,"BB,B,EB"
yes,O
etc,O
i look for a unit that have a comfortble keyboard no keys sticking or lagging,"O,O,O,O,O,O,O,O,BB,B,EB,B,EB,O,O"
strange configuration of extra key ,"BB,B,I,I,I"
since i keyboard over 100 wpm,"O,BB,B,EB,O,O"
i also tried the touch pad and compared it to other netbooks in the store,"O,O,O,BB,B,I,EI,O,O,O,O,O,O,O,O"
and minimal problems that have arisen make it well worth the pricetag,"O,O,O,O,O,O,O,O,O,O,BB,B"
but the ease of use,"O,O,O,BB,B"
security,B
it absolutely be more expensive than most pc laptops,"O,O,O,O,O,O,O,O,O"
and you have to keep tapping on it to get it to work,"O,O,O,O,O,O,O,O,O,O,O,O,B"
it gets stuck all of the time you use it,"EB,O,O,O,O,O,O,BB,B,EB"
lots of preloaded software,"O,BB,B,I"
acer,O
dell,O
packard bell and toshiba,"O,O,O,O"
sony,O
a guy came out to serve me instead,"O,O,O,O,O,O,O,O"
and then,"O,O"
breaking within 1 year of purchase and speaking to 4 + people to report the damaged part will be returned late,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
have returned that laptop unused,"O,O,O,O,O"
will probably never buy a hp again,"O,O,O,O,O,O,O"
i got tired of buying laptops and having them stop working after a year,"O,O,O,O,O,O,O,O,O,O,O,O,O,O"
i should have been more observant,"O,O,O,O,O,O"
then it would be perfect,"O,O,O,O,O"
i wish it have a webcam though,"O,O,O,O,BB,B,EB"
my favorite part of this computer be that it have a vga port so i can connect it to a bigger screen,"O,O,O,O,O,O,O,O,O,O,BB,B,I,EI,O,O,O,O,O,O,BB,B"
another thing i might add be the battery life be excellent,"O,O,O,O,O,O,BB,B,I,EI,O"
i wish the keys be backlit,"O,O,BB,B,EB,O"
one drawback,"O,O"
taped it shut resold it as new,"O,O,O,O,O,O,O"
when the buyer returned it wal mart just boxed it,"O,O,O,O,O,O,O,O,O,O"
what a great little laptop,"O,O,O,O,O"
so i returned it and purchased a toshiba r700 that seems even nicer and i be able to load all of my software with no problem,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,BB,B,EB,O,O"
